"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","MUROM","0","api тесты","0","0","Тест модулей","0"
"1","MUROM","1","api тесты","2","0","Тесты авторизации","0"
